,Pred_0Normal,Pred_1Doubtful,Pred_2Mild,Pred_3Moderate,Pred_4Severe
True_0Normal,84,5,2,0,0
True_1Doubtful,15,70,3,0,0
True_2Mild,3,15,17,3,0
True_3Moderate,1,1,3,27,3
True_4Severe,0,6,4,2,30
