epoch,train_loss,train_acc,val_loss,val_acc
1,1.3000522339716554,0.4599609375,0.9954225919018053,0.6164383561643836
2,0.9567693835124373,0.6640625,0.8347342536874014,0.6917808219178082
3,0.7979830177500844,0.7197265625,0.7422701397987261,0.7054794520547946
4,0.6715500121936202,0.7724609375,0.6683919168498418,0.7328767123287672
5,0.6134712104685605,0.7744140625,0.6501446309154981,0.7534246575342466
6,0.5269533293321729,0.8173828125,0.6169744925956203,0.7465753424657534
7,0.504898248706013,0.8212890625,0.6305472279248172,0.7602739726027398
8,0.42640935722738504,0.84765625,0.6333202205292167,0.7328767123287672
9,0.3690906206611544,0.876953125,0.574704934472907,0.773972602739726
10,0.37720805942080915,0.8642578125,0.5691792687324628,0.7465753424657534
11,0.3477775079663843,0.8837890625,0.6311035107259881,0.7397260273972602
12,0.3030909765511751,0.896484375,0.5998409847690634,0.7534246575342466
13,0.23199887364171445,0.927734375,0.5619559320684981,0.7671232876712328
14,0.23490737058455124,0.9208984375,0.5839368986756834,0.773972602739726
15,0.23314318753546104,0.9248046875,0.5883006559659357,0.7602739726027398
16,0.19433900006697513,0.9462890625,0.6173173495351452,0.7534246575342466
17,0.19717899966053665,0.93359375,0.6107883926940291,0.773972602739726
18,0.14234534685965627,0.9609375,0.6141825914382935,0.7876712328767124
