model,loss,accuracy,macro_f1,weighted_f1,mae,qwk,adjacent_error_rate_among_errors,distant_error_rate_among_errors
BaselineCNN,CrossEntropyLoss,0.4591836734693877,0.3733468905799003,0.4187621716227819,1.020408163265306,0.5056712468473932,0.5094339622641509,0.490566037735849
resnet18,CrossEntropyLoss,0.717687074829932,0.7010129318108138,0.7140488528540626,0.391156462585034,0.8175491679273827,0.7469879518072289,0.253012048192771
