epoch,train_loss,train_acc,val_loss,val_acc
1,1.8350944500416517,0.478515625,1.3803886550746551,0.6301369863013698
2,1.2854719748720527,0.6259765625,1.1254737605787304,0.7054794520547946
3,1.0476954318583012,0.712890625,0.9882273102459842,0.7191780821917808
4,0.8810684336349368,0.75,0.8846995014033906,0.7534246575342466
5,0.7930287276394665,0.7646484375,0.8957129896503605,0.7602739726027398
6,0.6899965344928205,0.7958984375,0.8359573899883114,0.7397260273972602
7,0.6399123342707753,0.802734375,0.8107800010132463,0.7876712328767124
8,0.5437326575629413,0.8408203125,0.874623713428027,0.7671232876712328
9,0.48695210739970207,0.8720703125,0.7761075317043148,0.7534246575342466
10,0.5097036778461188,0.8349609375,0.7189590441037531,0.7808219178082192
11,0.45469404477626085,0.859375,0.791189185560566,0.7328767123287672
12,0.36911827325820923,0.8896484375,0.7665035708309853,0.7397260273972602
13,0.30020161473657936,0.9208984375,0.8188554865040191,0.7602739726027398
14,0.3082384392619133,0.90625,0.7874635376342355,0.773972602739726
15,0.3223856418626383,0.90625,0.8272039090117363,0.7808219178082192
