,precision,recall,f1-score,support
0Normal,0.9054054054054054,0.7362637362637363,0.8121212121212121,91.0
1Doubtful,0.6545454545454545,0.8181818181818182,0.7272727272727273,88.0
2Mild,0.4772727272727273,0.5526315789473685,0.5121951219512195,38.0
3Moderate,0.8055555555555556,0.8285714285714286,0.8169014084507042,35.0
4Severe,0.9333333333333333,0.6666666666666666,0.7777777777777778,42.0
accuracy,0.7380952380952381,0.7380952380952381,0.7380952380952381,0.7380952380952381
macro avg,0.7552224952224952,0.7204630457262037,0.7292536495147282,294.0
weighted avg,0.7670840135125849,0.7380952380952381,0.7436212955769319,294.0
