label,class_name,precision,recall,f1_score,support
0,Normal,0.7840909090909091,0.7582417582417582,0.770949720670391,91
1,Doubtful,0.6555555555555556,0.6704545454545454,0.6629213483146067,88
2,Mild,0.47368421052631576,0.47368421052631576,0.47368421052631576,38
3,Moderate,0.7948717948717948,0.8857142857142857,0.8378378378378378,35
4,Severe,0.8461538461538461,0.7857142857142857,0.8148148148148148,42
