epoch,train_loss,train_acc,val_loss,val_acc
1,1.3564319400044231,0.4640692640692641,1.1073524608756558,0.5878787878787879
2,1.0043379435291537,0.625974025974026,0.8989192803700765,0.6424242424242425
3,0.8418318558048893,0.6909090909090909,0.7525166186419401,0.7333333333333333
4,0.7441913781228003,0.7151515151515152,0.7140744361010465,0.7151515151515152
5,0.6908688333643463,0.7411255411255411,0.6539037637638323,0.7515151515151515
6,0.6091716107868013,0.7792207792207793,0.6208754898923816,0.7757575757575758
7,0.5492171084209954,0.8017316017316017,0.5889731829816645,0.8121212121212121
8,0.4892696423964067,0.8285714285714286,0.5566230801018801,0.7757575757575758
9,0.45544563996327386,0.8432900432900433,0.5847821784741951,0.7636363636363637
10,0.42185184408575943,0.8519480519480519,0.6345924651984013,0.793939393939394
11,0.35619569738189893,0.8813852813852814,0.5356817436940742,0.7757575757575758
12,0.33012364344163375,0.883982683982684,0.5154671353824211,0.806060606060606
13,0.30750631057854855,0.8831168831168831,0.5745665423797839,0.8
14,0.27684186248036174,0.8926406926406927,0.5386584247603561,0.793939393939394
15,0.2698804376445291,0.9073593073593074,0.5370342769406059,0.806060606060606
16,0.24666985944235995,0.9064935064935065,0.5351477045001406,0.7878787878787878
17,0.23250920457757396,0.9272727272727272,0.5573664338299722,0.793939393939394
