label,class_name,precision,recall,f1_score,support
0,Normal,0.7741935483870968,0.7912087912087912,0.782608695652174,91
1,Doubtful,0.6391752577319587,0.7045454545454546,0.6702702702702703,88
2,Mild,0.47368421052631576,0.47368421052631576,0.47368421052631576,38
3,Moderate,0.775,0.8857142857142857,0.8266666666666667,35
4,Severe,1.0,0.6190476190476191,0.7647058823529411,42
