epoch,train_loss,val_loss,best_epoch_so_far,epochs_without_improvement,train_accuracy,train_macro_f1,train_weighted_f1,train_mae,train_qwk,train_total_errors,train_adjacent_errors,train_distant_errors,train_total_error_rate,train_adjacent_error_rate,train_distant_error_rate,val_accuracy,val_macro_f1,val_weighted_f1,val_mae,val_qwk,val_total_errors,val_adjacent_errors,val_distant_errors,val_total_error_rate,val_adjacent_error_rate,val_distant_error_rate
1,1.5457448363304138,1.1626664285790431,0,0,0.4482421875,0.35125883340674896,0.4063925075109841,0.9375,0.5282127670630212,565,328,237,0.5517578125,0.3203125,0.2314453125,0.5958904109589042,0.5255564688476081,0.5457593472939407,0.5821917808219178,0.7581787082945418,59,41,18,0.4041095890410959,0.2808219178082192,0.1232876712328767
2,0.9432746898382902,0.8608813579768351,1,0,0.677734375,0.6127377769261371,0.6533331145371111,0.4423828125,0.8187728243929069,330,240,90,0.322265625,0.234375,0.087890625,0.6917808219178082,0.6300244019373233,0.6582113018805988,0.4246575342465753,0.839063891126468,45,32,13,0.3082191780821918,0.2191780821917808,0.08904109589041095
3,0.7546824477612972,0.8495025602105546,2,0,0.7509765625,0.7208695139982965,0.7414920151607918,0.3310546875,0.8671813338831642,255,188,67,0.2490234375,0.18359375,0.0654296875,0.6917808219178082,0.6123634932046147,0.6579526712352215,0.4452054794520548,0.796619296232997,45,32,13,0.3082191780821918,0.2191780821917808,0.08904109589041095
4,0.5908090928569436,0.6707261151646915,2,1,0.81640625,0.7900554486119264,0.8093321650933496,0.244140625,0.90300421704322,188,139,49,0.18359375,0.1357421875,0.0478515625,0.773972602739726,0.7165116789394506,0.7517355797307936,0.3150684931506849,0.8658951042527785,33,24,9,0.22602739726027396,0.1643835616438356,0.06164383561643835
5,0.5249256202951074,0.6725823981304692,4,0,0.833984375,0.809347602041333,0.8292130610187595,0.208984375,0.9202161332484071,170,135,35,0.166015625,0.1318359375,0.0341796875,0.7876712328767124,0.7446812849314751,0.772358515386158,0.2808219178082192,0.8935740719973085,31,23,8,0.21232876712328766,0.15753424657534246,0.0547945205479452
6,0.4296687627211213,0.7469600920807825,5,0,0.869140625,0.8562793953151511,0.8671551753093057,0.166015625,0.9374069874224855,134,104,30,0.130859375,0.1015625,0.029296875,0.7397260273972602,0.6984313725490197,0.7209239860327692,0.3424657534246575,0.8632766774359695,38,29,9,0.2602739726027397,0.19863013698630136,0.06164383561643835
7,0.37608699360862374,0.7693433590131263,5,1,0.88671875,0.8791097823070736,0.8855844602362435,0.14453125,0.9450818959269459,116,89,27,0.11328125,0.0869140625,0.0263671875,0.7397260273972602,0.6922671156004488,0.7196623771966237,0.3493150684931507,0.8620477675827053,38,28,10,0.2602739726027397,0.1917808219178082,0.0684931506849315
8,0.34957816870883107,0.6417690411414185,5,2,0.8779296875,0.8595795789165732,0.8766321389135389,0.1552734375,0.941032915319371,125,96,29,0.1220703125,0.09375,0.0283203125,0.773972602739726,0.7662522189376408,0.7721028787279708,0.3013698630136986,0.8757446808510638,33,25,8,0.22602739726027396,0.17123287671232876,0.0547945205479452
9,0.2612513806670904,0.7598548127363806,5,3,0.9111328125,0.8992755995586859,0.9098327045092894,0.1142578125,0.9571409631476928,91,67,24,0.0888671875,0.0654296875,0.0234375,0.7534246575342466,0.7218916650875722,0.7383017273378912,0.3082191780821918,0.8829557337051237,36,30,6,0.2465753424657534,0.2054794520547945,0.0410958904109589
10,0.30850447132252157,0.5925829683060515,5,4,0.9033203125,0.9038298224766784,0.9029556880145685,0.12109375,0.9540209240716627,99,79,20,0.0966796875,0.0771484375,0.01953125,0.8013698630136986,0.7941218637992831,0.7958770840785865,0.2534246575342466,0.9048675095452571,29,23,6,0.19863013698630136,0.15753424657534246,0.0410958904109589
11,0.2732475611846894,0.6091900551564073,10,0,0.9208984375,0.9168041060513925,0.9205512476392089,0.095703125,0.9663176143707384,81,66,15,0.0791015625,0.064453125,0.0146484375,0.7808219178082192,0.7668607088397194,0.7745154406087639,0.2945205479452055,0.8807710887718249,32,24,8,0.2191780821917808,0.1643835616438356,0.0547945205479452
