global_epoch,stage,train_loss,train_acc,val_loss,val_acc,learning_rate
1,Stage 1 - classifier head only,1.8656502943485975,0.3173828125,1.7719707913594702,0.3356164383561644,0.0001
2,Stage 1 - classifier head only,1.7583017144352198,0.388671875,1.6296784649156544,0.4246575342465753,0.0001
3,Stage 1 - classifier head only,1.6443541198968887,0.4365234375,1.5276567315402096,0.4589041095890411,0.0001
4,Stage 1 - classifier head only,1.6018613502383232,0.4306640625,1.4656779929383161,0.5,0.0001
5,Stage 1 - classifier head only,1.5362137667834759,0.482421875,1.3905748733102459,0.541095890410959,0.0001
6,Stage 2 - fine-tune denseblock4,1.521378455683589,0.48046875,1.3422754366103917,0.589041095890411,1e-05
7,Stage 2 - fine-tune denseblock4,1.4391825757920742,0.5322265625,1.3030697940147087,0.6232876712328768,1e-05
8,Stage 2 - fine-tune denseblock4,1.3835129691287875,0.54296875,1.2703572887263885,0.6232876712328768,1e-05
9,Stage 2 - fine-tune denseblock4,1.333664046600461,0.57421875,1.2431462807198093,0.6095890410958904,1e-05
10,Stage 2 - fine-tune denseblock4,1.3476141672581434,0.5517578125,1.2094615305939767,0.6301369863013698,1e-05
11,Stage 2 - fine-tune denseblock4,1.265270515345037,0.6044921875,1.1770555189211074,0.6506849315068494,1e-05
12,Stage 2 - fine-tune denseblock4,1.240652902983129,0.5947265625,1.1581836710237476,0.6575342465753424,1e-05
13,Stage 2 - fine-tune denseblock4,1.21253402531147,0.603515625,1.1287424156110581,0.6575342465753424,1e-05
14,Stage 2 - fine-tune denseblock4,1.21668188739568,0.587890625,1.1078044061791408,0.6712328767123288,1e-05
15,Stage 2 - fine-tune denseblock4,1.168658851645887,0.6298828125,1.0860662166386434,0.678082191780822,1e-05
16,Stage 2 - fine-tune denseblock4,1.1665022112429142,0.6162109375,1.1019206536959296,0.6712328767123288,1e-05
17,Stage 2 - fine-tune denseblock4,1.1495265774428844,0.6298828125,1.0496000492409483,0.678082191780822,1e-05
18,Stage 2 - fine-tune denseblock4,1.0923378383740783,0.6552734375,1.0489183778632176,0.6917808219178082,1e-05
19,Stage 2 - fine-tune denseblock4,1.0705387191846967,0.66015625,1.0175045500062916,0.684931506849315,1e-05
20,Stage 2 - fine-tune denseblock4,1.0764764798805118,0.650390625,1.0189762638039785,0.684931506849315,1e-05
