epoch,train_loss,train_acc,val_loss,val_acc,learning_rate
1,1.728684689849615,0.3876953125,1.4229385689513323,0.5136986301369864,0.0001
2,1.3061342993751168,0.5693359375,1.0682049058888057,0.6986301369863014,0.0001
3,1.0272100172005594,0.673828125,0.9467116545324457,0.6986301369863014,0.0001
4,0.8873779093846679,0.71875,0.8783783128816788,0.7328767123287672,0.0001
5,0.8061842257156968,0.73828125,0.7951047110230955,0.6986301369863014,0.0001
6,0.761646575294435,0.75390625,0.8689184172512734,0.6986301369863014,0.0001
7,0.6445204485207796,0.796875,0.7632200440315351,0.7602739726027398,0.0001
8,0.5794581491500139,0.8232421875,0.7401496735337663,0.7397260273972602,0.0001
9,0.5251189130358398,0.837890625,0.7633494465318444,0.7465753424657534,0.0001
10,0.4504782238509506,0.8642578125,0.7575346647876583,0.7465753424657534,0.0001
11,0.39627108606509864,0.8681640625,0.8767848774178387,0.7191780821917808,0.0001
12,0.3869026171742007,0.8896484375,0.7385284835345125,0.7602739726027398,5e-05
13,0.3462287178845145,0.896484375,0.7419190276158999,0.7465753424657534,5e-05
14,0.3504504320444539,0.8984375,0.7167982834659211,0.7876712328767124,5e-05
15,0.27993398561375216,0.9287109375,0.724076946304269,0.7671232876712328,5e-05
16,0.26505282474681735,0.9345703125,0.6749546560522628,0.7876712328767124,5e-05
17,0.27748079609591514,0.9208984375,0.6629335031117478,0.773972602739726,5e-05
18,0.25831050955457613,0.9267578125,0.6832061148669621,0.8013698630136986,5e-05
19,0.22895043843891472,0.9365234375,0.6612700374975596,0.7876712328767124,5e-05
20,0.24548279179725796,0.931640625,0.5988585173267208,0.8013698630136986,5e-05
