label,class_name,precision,recall,f1_score,support
0,Normal,0.8823529411764706,0.8737864077669902,0.8780487804878049,103
1,Doubtful,0.7473684210526316,0.7473684210526316,0.7473684210526316,95
2,Mild,0.5909090909090909,0.5531914893617021,0.5714285714285714,47
3,Moderate,0.7906976744186046,0.7727272727272727,0.7816091954022989,44
4,Severe,0.8260869565217391,0.926829268292683,0.8735632183908046,41
