epoch,train_loss,train_acc,val_loss,val_acc
1,1.0718737356364727,0.576171875,0.7646803104714172,0.7123287671232876
2,0.664123326074332,0.7587890625,0.6954460307343365,0.7054794520547946
3,0.4908165910746902,0.8232421875,0.6618024731335574,0.7602739726027398
4,0.4317286997102201,0.841796875,0.6352581210332374,0.726027397260274
5,0.35750350588932633,0.876953125,0.6643921602262209,0.7602739726027398
6,0.3019300713785924,0.890625,0.5778046429973759,0.8082191780821918
7,0.26077615027315915,0.91015625,0.6276910067727305,0.7945205479452054
8,0.22757791262120008,0.908203125,0.6772982429151666,0.7602739726027398
9,0.19206397372181527,0.927734375,0.6529159846983544,0.8082191780821918
10,0.1800550777115859,0.9365234375,0.7142585608342739,0.7876712328767124
11,0.17853647540323436,0.9384765625,0.690983215627605,0.8082191780821918
