,pred_Normal,pred_Doubtful,pred_Mild,pred_Moderate,pred_Severe
true_Normal,59,15,0,5,12
true_Doubtful,35,31,0,1,21
true_Mild,13,7,0,7,11
true_Moderate,8,2,0,12,13
true_Severe,0,5,0,4,33
