epoch,train_loss,train_acc,val_loss,val_acc
1,1.5100636929273605,0.3359375,1.4561739163855985,0.363013698630137
2,1.4634784329682589,0.3681640625,1.4359354548258325,0.3287671232876712
3,1.4348300024867058,0.3681640625,1.4703277888363355,0.4178082191780822
4,1.4087990261614323,0.369140625,1.502165431845678,0.4246575342465753
5,1.3905851114541292,0.37890625,1.299965838863425,0.363013698630137
6,1.3761565759778023,0.388671875,1.3390554222342086,0.3698630136986301
7,1.3684644270688295,0.396484375,1.45753890194305,0.3150684931506849
8,1.3351140189915895,0.4091796875,1.4453060463683245,0.3698630136986301
9,1.3420847933739424,0.3642578125,1.267591466642406,0.3904109589041096
10,1.3532214537262917,0.4072265625,1.2826502911032063,0.3972602739726027
11,1.3472155407071114,0.4111328125,1.2521977816542533,0.5273972602739726
12,1.3289722222834826,0.3974609375,1.247892049893941,0.4041095890410959
13,1.3157989867031574,0.4072265625,1.2967169317480636,0.3835616438356164
14,1.3029690887778997,0.4111328125,1.2367501863061565,0.4315068493150685
15,1.2878652904182673,0.427734375,1.494574932202901,0.3767123287671233
16,1.2988578733056784,0.427734375,1.5518032557343784,0.2876712328767123
17,1.2953814584761858,0.4326171875,1.3837665172472393,0.4246575342465753
18,1.263823825865984,0.4375,1.2069788044446135,0.5342465753424658
19,1.284856959246099,0.4443359375,1.2627932257848242,0.4520547945205479
20,1.2951744981110096,0.4296875,1.5004036622504666,0.3424657534246575
