epoch,train_loss,train_acc,val_loss,val_acc
1,1.4889163980260491,0.5322265625,1.0824171321032798,0.678082191780822
2,0.8831704594194889,0.7294921875,0.8718483341883306,0.6986301369863014
3,0.6513157086446881,0.8173828125,0.8669060068587734,0.7876712328767124
4,0.547111286316067,0.83203125,0.753898461795833,0.7397260273972602
5,0.44267527805641294,0.8701171875,0.811715205646541,0.7671232876712328
6,0.4020612732274458,0.880859375,0.7533898650579256,0.7876712328767124
7,0.34849943045992404,0.890625,0.8268789412734443,0.821917808219178
8,0.31793461088091135,0.8935546875,0.7714562752883728,0.8013698630136986
9,0.2398722980869934,0.919921875,0.8598155758203301,0.8082191780821918
10,0.22733809455530718,0.935546875,0.8963421189213452,0.7808219178082192
11,0.2435307081323117,0.923828125,0.8480023694773243,0.8013698630136986
