label,class_name,precision,recall,f1_score,support
0,Normal,0.5130434782608696,0.6483516483516484,0.5728155339805825,91
1,Doubtful,0.5166666666666667,0.3522727272727273,0.4189189189189189,88
2,Mild,0.0,0.0,0.0,38
3,Moderate,0.41379310344827586,0.34285714285714286,0.375,35
4,Severe,0.36666666666666664,0.7857142857142857,0.5,42
