epoch,train_loss,train_acc,val_loss,val_acc
1,1.7742294259369373,0.4521484375,1.3044938191975632,0.6232876712328768
2,1.2770001823082566,0.6474609375,1.0974562200781417,0.6986301369863014
3,1.051373246125877,0.71484375,0.9662347378796095,0.7191780821917808
4,0.8852822296321392,0.767578125,0.8872047760715224,0.726027397260274
5,0.8224371043033898,0.76953125,0.8760849025151501,0.7465753424657534
6,0.7097747274674475,0.8125,0.8325226747826354,0.7602739726027398
7,0.6925342823378742,0.810546875,0.8724286147992905,0.7602739726027398
8,0.5875744805671275,0.849609375,0.8598055006706551,0.726027397260274
9,0.5176261675078422,0.875,0.7522362584937109,0.7397260273972602
10,0.5244092363864183,0.8681640625,0.7562335027407293,0.7397260273972602
11,0.47925252199638635,0.8779296875,0.8279439178231645,0.7397260273972602
12,0.4276050601620227,0.8896484375,0.7880447082323571,0.7465753424657534
13,0.3304239516146481,0.9228515625,0.7703548408534429,0.7808219178082192
14,0.33461129129864275,0.919921875,0.743625764977442,0.7671232876712328
15,0.33404623228125274,0.919921875,0.7633350556843901,0.7808219178082192
16,0.2736558530596085,0.9443359375,0.7634559322709906,0.7602739726027398
17,0.2805026183486916,0.9267578125,0.773647230781921,0.773972602739726
18,0.20752078498480842,0.9619140625,0.7625906736883399,0.7671232876712328
19,0.23667847400065511,0.9404296875,0.7485348092366572,0.8013698630136986
