epoch,train_loss,train_acc,val_loss,val_acc
1,1.5362367899386913,0.3212121212121212,1.4319705464623191,0.503030303030303
2,1.380901704412518,0.47965367965367967,1.317121520909396,0.5393939393939394
3,1.2829144397339263,0.5108225108225108,1.2280957893891769,0.5818181818181818
4,1.2043230948510109,0.5229437229437229,1.1918654290112582,0.5636363636363636
5,1.1614030461290699,0.5783549783549784,1.117948048765009,0.6121212121212121
6,1.1173682050787526,0.5748917748917749,1.0834459788871533,0.6181818181818182
7,1.0573663892167988,0.5878787878787879,1.0627852067802892,0.6060606060606061
8,1.0544530624951118,0.5930735930735931,1.0118985732396444,0.6545454545454545
9,0.9875566527957008,0.6138528138528139,0.9827092091242472,0.6545454545454545
10,0.9514419581466939,0.6277056277056277,0.9904513994852702,0.6606060606060606
11,0.9538838452591009,0.6285714285714286,0.9470005627834436,0.6484848484848484
12,0.9165056601231233,0.6441558441558441,0.9720324133381699,0.6363636363636364
13,0.9367493094819965,0.6320346320346321,0.9158699396884803,0.7090909090909091
14,0.9047609845797221,0.6467532467532467,0.9103890158913353,0.6909090909090909
15,0.8619888712833454,0.6683982683982684,0.8748197136503277,0.6909090909090909
16,0.8652657624446984,0.6666666666666666,0.8596847266861887,0.7272727272727273
17,0.8662423730412603,0.6597402597402597,0.8948436480579954,0.6787878787878788
18,0.8541517740978307,0.6623376623376623,0.8680359430385358,0.7333333333333333
19,0.8117655729834652,0.6978354978354978,0.8600433857151957,0.7151515151515152
20,0.8310571303099265,0.6831168831168831,0.8612633681658542,0.703030303030303
