epoch,train_loss,train_acc,val_loss,val_acc
1,1.4956357928065511,0.3489177489177489,1.3735949819738216,0.4727272727272727
2,1.3367792060364891,0.4683982683982684,1.2669475042458735,0.5333333333333333
3,1.238585530937492,0.516017316017316,1.1770032907977248,0.5696969696969697
4,1.1694720020541898,0.5428571428571428,1.1413711576750785,0.5818181818181818
5,1.1254273924992715,0.5913419913419914,1.070219552155697,0.6242424242424243
6,1.0814116549182249,0.587012987012987,1.0328327431823268,0.6303030303030303
7,1.0293154980713155,0.612987012987013,1.0169976740172415,0.6121212121212121
8,1.02333307173345,0.6060606060606061,0.9659083124363061,0.6727272727272727
9,0.9592304833523639,0.6277056277056277,0.9384067434253115,0.6727272727272727
10,0.9270337893849327,0.6458874458874458,0.9446574001601248,0.6727272727272727
11,0.930594785595353,0.6432900432900432,0.9029961759393865,0.6848484848484848
12,0.8978563538877479,0.6606060606060606,0.9281774860439879,0.6787878787878788
13,0.9070682384235003,0.6588744588744588,0.8704688935568838,0.7212121212121212
14,0.8782872050355524,0.6666666666666666,0.8687339833288482,0.7212121212121212
15,0.8413948336720982,0.6692640692640692,0.8333319732637117,0.7575757575757576
16,0.8496492101000501,0.6761904761904762,0.8238348512938528,0.7393939393939394
17,0.8455988488672099,0.677056277056277,0.8606228120399244,0.7090909090909091
18,0.8289749285617432,0.7012987012987013,0.8297818113457073,0.7454545454545455
19,0.7900484979926766,0.7108225108225108,0.8274019924077121,0.7272727272727273
20,0.8066037790083782,0.6961038961038961,0.8272423256527294,0.7090909090909091
