,precision,recall,f1-score,support
0Normal,0.8155339805825242,0.9230769230769231,0.865979381443299,91.0
1Doubtful,0.7216494845360825,0.7954545454545454,0.7567567567567568,88.0
2Mild,0.5862068965517241,0.4473684210526316,0.5074626865671642,38.0
3Moderate,0.84375,0.7714285714285715,0.8059701492537313,35.0
4Severe,0.9090909090909091,0.7142857142857143,0.8,42.0
accuracy,0.7755102040816326,0.7755102040816326,0.7755102040816326,0.7755102040816326
macro avg,0.775246254152248,0.7303228350596772,0.7472337948041903,294.0
weighted avg,0.7745159085815261,0.7755102040816326,0.7703784204740396,294.0
