,pred_Normal,pred_Doubtful,pred_Mild,pred_Moderate,pred_Severe
true_Normal,64,14,13,0,0
true_Doubtful,12,55,17,1,3
true_Mild,2,6,22,6,2
true_Moderate,1,1,0,30,3
true_Severe,0,4,6,2,30
