stage,epoch_stage,epoch_global,learning_rate,train_loss,train_acc,val_loss,val_acc
head_only,1,1,0.0005,1.4570062644779682,0.3544921875,1.3991617045990408,0.3150684931506849
head_only,2,2,0.0005,1.298119543120265,0.4462890625,1.155465746579105,0.5
head_only,3,3,0.0005,1.2536314707249403,0.4423828125,1.2704932754986906,0.4931506849315068
last_block,1,4,0.0001,1.053875950165093,0.5732421875,0.9880264360610753,0.589041095890411
last_block,2,5,0.0001,0.8859234619885683,0.65234375,0.8176171779632568,0.6575342465753424
last_block,3,6,0.0001,0.8156400457955897,0.673828125,0.7685434083416037,0.684931506849315
last_block,4,7,0.0001,0.7159887501038611,0.7158203125,0.7547450588174063,0.7054794520547946
last_block,5,8,0.0001,0.6686010407283902,0.74609375,0.6941894570442095,0.7191780821917808
last_block,6,9,0.0001,0.6565378685481846,0.728515625,0.6704524608507548,0.726027397260274
last_block,7,10,0.0001,0.5438269646838307,0.7900390625,0.6100594736125371,0.7397260273972602
last_block,8,11,0.0001,0.5368904978968203,0.7890625,0.609009518198771,0.7191780821917808
last_block,9,12,0.0001,0.48132854769937694,0.830078125,0.6475403129237972,0.7671232876712328
last_block,10,13,0.0001,0.4349010812584311,0.8388671875,0.6080992850538802,0.7534246575342466
last_block,11,14,0.0001,0.463659850647673,0.8125,0.6027035166139472,0.726027397260274
last_block,12,15,0.0001,0.43361309659667313,0.8359375,0.5312280201748626,0.7671232876712328
last_block,13,16,0.0001,0.36759532464202493,0.8681640625,0.5798838326375778,0.7465753424657534
last_block,14,17,0.0001,0.3586929243756458,0.8720703125,0.6252806300986303,0.773972602739726
last_block,15,18,5e-05,0.35366770066320896,0.86328125,0.575601486718818,0.7534246575342466
last_block,16,19,5e-05,0.31914416421204805,0.8779296875,0.5709984555636367,0.7876712328767124
last_block,17,20,5e-05,0.31777321198023856,0.8720703125,0.5678350880537948,0.7671232876712328
last_block,1,21,0.0001,0.29093194630695507,0.8896484375,0.5734011373699528,0.7876712328767124
last_block,2,22,0.0001,0.2866682312451303,0.8896484375,0.6855330957125311,0.7808219178082192
last_block,3,23,0.0001,0.23812206368893385,0.9072265625,0.6068625062295835,0.8082191780821918
last_block,4,24,5e-05,0.2776218543294817,0.90234375,0.5893325038152198,0.7945205479452054
last_block,5,25,5e-05,0.25405774186947383,0.9072265625,0.6330577735215017,0.7945205479452054
