stage,epoch_stage,epoch_global,learning_rate,train_loss,train_acc,val_loss,val_acc
head_only,1,1,0.0005,2.1669468972831964,0.2734375,1.9248943263537264,0.5
head_only,2,2,0.0005,1.8694784101098776,0.4072265625,1.6420654205426777,0.5205479452054794
head_only,3,3,0.0005,1.7221304010599852,0.4482421875,1.5511575790300762,0.541095890410959
last_block,1,4,0.0001,1.4635862587019801,0.5458984375,1.2643283491265285,0.6301369863013698
last_block,2,5,0.0001,1.2127210926264524,0.5966796875,1.0903573852695831,0.678082191780822
last_block,3,6,0.0001,1.1402343064546585,0.6015625,1.043458298461078,0.6643835616438356
last_block,4,7,0.0001,0.9992087753489614,0.6572265625,0.9558779736087747,0.678082191780822
last_block,5,8,0.0001,0.8905046992003918,0.7021484375,0.9215816732955305,0.7397260273972602
last_block,6,9,0.0001,0.8366463747806847,0.7177734375,0.8178342107224138,0.7328767123287672
last_block,7,10,0.0001,0.7406598962843418,0.75,0.8249418114962643,0.726027397260274
last_block,8,11,0.0001,0.7756323786452413,0.724609375,0.7607451015955782,0.7328767123287672
last_block,9,12,0.0001,0.7217899062670767,0.7470703125,0.7851568558444716,0.7602739726027398
last_block,10,13,0.0001,0.6128272614441812,0.7939453125,0.7650152265209041,0.7123287671232876
last_block,11,14,5e-05,0.6082163718529046,0.78515625,0.7763988098053083,0.726027397260274
last_block,12,15,5e-05,0.5485647439491004,0.8154296875,0.794197773280209,0.6986301369863014
last_block,13,16,5e-05,0.5037087243981659,0.82421875,0.7808649662422807,0.773972602739726
