split,label,class_name,count
test,0,Normal,103
test,1,Doubtful,95
test,2,Mild,47
test,3,Moderate,44
test,4,Severe,41
train,0,Normal,360
train,1,Doubtful,334
train,2,Mild,162
train,3,Moderate,155
train,4,Severe,144
val,0,Normal,51
val,1,Doubtful,48
val,2,Mild,23
val,3,Moderate,22
val,4,Severe,21
