,pred_Normal,pred_Doubtful,pred_Mild,pred_Moderate,pred_Severe
true_Normal,76,14,1,0,0
true_Doubtful,16,62,9,0,1
true_Mild,6,10,16,6,0
true_Moderate,1,1,2,30,1
true_Severe,0,9,2,4,27
