,pred_Normal,pred_Doubtful,pred_Mild,pred_Moderate,pred_Severe
true_Normal,91,10,0,2,0
true_Doubtful,9,77,5,1,3
true_Mild,2,11,26,6,2
true_Moderate,0,2,7,33,2
true_Severe,0,5,0,1,35
