label,class_name,precision,recall,f1_score,support
0,Normal,0.7676767676767676,0.8351648351648352,0.8,91
1,Doubtful,0.6458333333333334,0.7045454545454546,0.6739130434782609,88
2,Mild,0.5333333333333333,0.42105263157894735,0.47058823529411764,38
3,Moderate,0.75,0.8571428571428571,0.8,35
4,Severe,0.9310344827586207,0.6428571428571429,0.7605633802816901,42
