,pred_Normal,pred_Doubtful,pred_Mild,pred_Moderate,pred_Severe
true_Normal,90,5,4,1,3
true_Doubtful,28,49,6,2,10
true_Mild,3,12,18,4,10
true_Moderate,1,2,4,30,7
true_Severe,1,4,0,1,35
