class_name,Baseline CNN,ResNet18,ResNet18 (class-weighted),ResNet18 (ordinal),DenseNet121,DenseNet121 (class-weighted),DenseNet121 (ordinal),EfficientNet,EfficientNet (class-weighted),EfficientNet (ordinal)
Normal,0.5728155339805825,0.8,0.7529411764705882,0.782608695652174,0.8040201005025126,0.8041237113402062,0.8042328042328042,0.7866108786610879,0.7964601769911505,0.783410138248848
Doubtful,0.4189189189189189,0.6739130434782609,0.6547619047619048,0.6702702702702703,0.7261904761904762,0.6909090909090909,0.7023809523809523,0.6120218579234973,0.5868263473053892,0.6033519553072626
Mild,0.0,0.4705882352941176,0.4583333333333333,0.4736842105263157,0.5671641791044776,0.5714285714285714,0.575,0.2372881355932203,0.4556962025316455,0.475
Moderate,0.375,0.8,0.8108108108108109,0.8266666666666667,0.8108108108108109,0.8108108108108109,0.8108108108108109,0.7,0.7317073170731707,0.7435897435897436
Severe,0.5,0.7605633802816901,0.75,0.7647058823529411,0.825,0.8205128205128205,0.8051948051948052,0.6666666666666666,0.660377358490566,0.660377358490566
