Experiment,Adjacent Error Rate,Distant Error Rate
Baseline CNN,0.509,0.491
ResNet18,0.747,0.253
ResNet18 (class-weighted),0.645,0.355
ResNet18 (ordinal),0.753,0.247
DenseNet121,0.746,0.254
DenseNet121 (class-weighted),0.76,0.24
DenseNet121 (ordinal),0.747,0.253
EfficientNet,0.607,0.393
EfficientNet (class-weighted),0.62,0.38
EfficientNet (ordinal),0.667,0.333
